NUTS1,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08
DE1,60.43,60.15,60.75,60.40,60.59,60.44,60.52,61.16,60.71,60.51,60.37,61.82,61.88,60.57,60.87,60.45,59.87,60.13,60.65,60.82,60.38,60.62,60.55,60.46,60.69,60.33,60.16,60.18,59.95,60.19,60.52,60.78,60.53,60.45,60.71,60.06,59.85,59.89,59.92,60.00,59.81,60.16,59.90,59.72,59.82,59.83,60.16,60.21,60.11,59.92,60.34,60.00,60.15,60.09,59.95,60.18,60.77,60.56,61.32,60.15,59.91,59.90,59.96,60.45,60.03,59.62,60.52,59.77,59.49,60.12,60.43,59.97,59.80,59.88,59.79,60.04,60.61,60.89,60.79,60.91,60.90,60.97,61.20,61.23,61.04,61.26,61.62,60.73,60.30,60.22,60.26,60.38,60.40,60.45,60.52,60.64,60.75,60.42,60.68,60.23,60.35,60.61,60.76,60.45,60.58,60.98,60.78,59.92,60.30,60.24,60.81,60.55,60.07,59.79,60.27,60.74,60.19,60.04,59.98
DE2,60.27,60.04,60.49,59.98,60.45,60.48,60.11,60.90,60.61,60.28,60.16,61.71,61.94,60.35,60.64,60.28,59.76,59.90,60.38,60.50,60.18,60.41,60.31,60.28,60.48,60.14,60.03,60.05,59.83,60.04,60.42,60.69,60.43,60.33,60.61,59.94,59.64,59.77,59.74,59.83,59.72,59.91,59.66,59.49,59.61,59.61,59.95,59.91,59.88,59.69,60.04,59.87,59.88,60.04,59.70,59.87,60.65,60.46,61.14,60.14,59.80,59.75,59.80,60.32,60.00,59.59,60.42,59.65,59.31,59.93,60.29,59.84,59.75,59.75,59.55,59.80,60.39,60.75,60.75,60.82,60.81,60.82,60.98,61.14,60.90,61.08,61.44,60.57,60.10,60.07,60.09,60.26,60.25,60.34,60.38,60.46,60.50,60.26,60.50,60.06,60.12,60.33,60.45,60.39,60.38,60.80,60.56,59.75,60.15,60.15,60.62,60.41,59.99,59.56,60.04,60.50,60.01,59.93,59.72
DE3,60.69,60.49,60.87,60.76,61.17,61.08,61.14,61.25,60.65,60.06,60.82,61.56,61.75,61.42,61.49,60.94,60.07,60.13,60.61,60.94,60.94,61.03,60.68,60.59,60.79,60.63,60.45,60.35,60.32,60.41,60.74,60.97,60.73,60.71,61.09,60.38,60.00,60.28,60.31,60.29,60.31,60.45,60.22,60.04,60.27,60.22,60.41,60.36,60.31,60.29,60.35,60.25,60.43,60.61,60.30,60.28,61.12,61.11,61.39,60.60,60.42,60.29,60.68,60.34,60.49,60.08,60.49,60.13,60.00,60.31,60.74,60.24,60.32,60.41,60.35,60.44,61.04,61.49,61.33,61.35,61.37,61.30,61.51,61.58,61.63,61.56,62.15,61.35,60.74,60.79,60.77,61.11,60.99,61.11,61.13,61.14,61.24,61.14,61.14,60.93,61.23,61.10,61.49,61.41,61.36,61.35,61.21,60.69,61.02,61.26,61.12,61.23,61.02,60.10,60.56,61.07,60.81,60.86,60.96
DE4,61.24,61.07,61.49,61.39,61.75,61.73,61.60,61.79,61.24,60.72,61.43,62.17,62.28,61.89,61.93,61.36,60.65,60.70,61.31,61.53,61.45,61.60,61.37,61.29,61.56,61.27,61.07,60.97,60.99,61.08,61.37,61.69,61.58,61.58,61.98,61.30,60.86,61.06,61.10,61.21,61.21,61.29,61.07,60.85,61.13,61.13,61.24,61.32,61.32,61.29,61.32,61.34,61.52,61.75,61.31,61.28,62.07,61.99,62.26,61.50,61.28,61.13,61.43,61.12,61.30,61.04,61.45,61.00,60.91,61.23,61.70,61.01,61.11,61.18,61.16,61.17,61.66,61.73,61.62,61.80,61.59,61.72,62.02,62.19,62.06,62.00,62.64,61.81,61.18,61.29,61.24,61.51,61.46,61.53,61.65,61.47,61.61,61.54,61.58,61.21,61.49,61.59,61.88,61.94,61.76,61.75,61.74,61.07,61.58,61.86,61.62,61.57,61.43,60.53,60.98,61.52,61.26,61.32,61.31
DE5,60.36,59.98,60.57,60.66,60.70,60.27,60.84,61.15,59.89,59.77,60.74,61.59,61.67,61.55,61.55,60.39,59.70,59.90,60.39,61.07,60.88,60.92,60.72,60.64,60.74,60.65,60.45,60.42,60.31,60.46,60.63,60.96,60.87,60.79,61.32,60.53,60.03,60.33,60.22,60.40,60.32,60.59,60.24,60.01,60.25,60.17,60.20,60.28,60.36,60.65,60.60,60.38,60.53,60.57,60.33,60.27,60.95,60.94,61.27,60.24,60.54,60.70,60.87,60.30,60.43,60.31,60.94,60.63,60.46,60.91,61.16,60.32,60.40,60.61,60.56,60.72,61.30,61.44,61.52,61.41,61.37,61.31,61.60,61.83,61.81,61.65,62.24,61.26,60.72,60.52,60.69,60.92,60.83,61.07,61.02,61.25,61.22,61.07,61.03,60.65,61.26,61.23,61.69,61.12,61.13,61.50,61.47,60.48,60.91,61.02,61.02,61.30,60.84,59.99,60.53,61.11,60.75,60.69,61.09
DE6,60.10,59.73,60.08,60.20,60.42,60.18,60.55,60.84,59.51,59.35,60.32,60.82,60.94,60.89,60.99,60.03,59.26,59.51,59.70,60.16,60.18,60.23,60.12,60.07,60.16,60.01,59.86,59.62,59.51,59.62,59.92,60.17,60.03,59.89,60.24,59.58,59.24,59.41,59.43,59.32,59.55,59.78,59.49,59.22,59.48,59.36,59.54,59.46,59.58,59.72,59.77,59.58,59.72,59.70,59.60,59.66,60.45,60.22,60.90,59.52,59.71,59.62,59.97,59.37,59.63,59.28,59.66,59.23,59.51,59.76,60.13,59.51,59.60,59.57,59.47,59.62,60.16,60.52,60.42,60.49,60.52,60.59,60.83,60.90,60.88,60.87,61.38,60.40,59.85,59.82,59.84,60.02,60.09,60.15,60.34,60.31,60.48,60.30,60.42,59.94,60.28,60.26,60.73,60.48,60.33,60.38,60.50,59.72,60.06,60.15,60.09,60.62,60.13,59.33,59.62,60.21,59.75,60.16,60.28
DE7,60.56,60.49,60.98,60.73,60.76,60.81,60.78,61.29,60.70,60.37,60.76,61.88,62.03,61.01,61.13,60.61,59.94,60.14,60.76,60.87,60.57,60.70,60.71,60.55,60.77,60.55,60.43,60.42,60.27,60.40,60.83,61.09,60.86,60.76,61.01,60.35,60.06,60.26,60.26,60.35,60.33,60.57,60.28,60.05,60.17,60.22,60.42,60.45,60.29,60.39,60.59,60.42,60.46,60.48,60.26,60.38,61.11,61.04,61.65,60.41,60.32,60.16,60.45,60.69,60.51,60.11,60.80,60.29,60.03,60.59,60.87,60.32,60.27,60.32,60.26,60.50,60.98,61.20,61.17,61.16,61.28,61.28,61.48,61.60,61.50,61.53,62.01,61.22,60.55,60.60,60.55,60.77,60.76,60.85,60.92,60.93,61.05,60.78,61.03,60.55,60.66,61.06,61.16,60.89,61.15,61.39,61.17,60.35,60.72,60.78,61.13,60.85,60.60,60.04,60.48,61.02,60.52,60.51,60.80
DE8,61.11,61.01,61.38,61.65,61.83,61.44,61.59,61.95,60.98,60.48,61.60,62.03,62.08,62.03,61.75,61.15,60.35,60.68,60.96,61.37,61.24,61.38,61.00,61.20,61.14,61.08,60.61,60.73,60.53,60.76,61.15,61.31,61.20,61.31,61.68,61.04,60.57,60.72,60.72,60.72,60.80,60.89,60.58,60.38,60.77,60.74,60.90,60.76,60.77,60.74,60.76,60.58,60.76,61.04,60.79,61.06,61.49,61.08,61.93,60.85,60.91,60.77,61.26,60.64,60.78,60.50,60.79,60.34,60.53,60.92,61.15,60.42,60.58,60.52,60.62,60.58,61.12,61.44,61.20,61.54,61.43,61.62,61.73,61.89,61.60,61.74,62.49,61.51,61.00,61.01,60.81,60.85,61.15,61.28,61.16,61.17,61.16,61.00,61.30,61.02,61.03,61.08,61.62,61.55,61.40,61.38,61.24,60.65,61.07,61.20,60.81,61.09,60.78,59.90,60.42,60.87,60.53,60.70,60.90
DE9,60.78,60.47,60.94,60.85,61.02,60.94,60.96,61.39,60.24,60.02,60.89,61.62,61.80,61.54,61.60,60.69,59.99,60.20,60.53,60.97,60.90,60.93,60.76,60.76,60.92,60.78,60.57,60.45,60.41,60.60,60.83,61.16,60.98,60.92,61.35,60.61,60.17,60.38,60.33,60.39,60.45,60.56,60.29,60.03,60.30,60.31,60.47,60.44,60.42,60.57,60.52,60.48,60.58,60.74,60.47,60.58,61.30,60.96,61.65,60.53,60.60,60.63,60.79,60.44,60.59,60.27,60.69,60.36,60.24,60.58,60.98,60.39,60.38,60.41,60.41,60.51,61.01,61.30,61.21,61.19,61.25,61.26,61.51,61.61,61.52,61.55,62.17,61.21,60.62,60.59,60.62,60.79,60.77,60.85,61.01,60.91,61.07,60.85,61.06,60.61,60.91,61.09,61.45,61.02,61.21,61.36,61.29,60.51,60.93,61.17,61.11,61.33,61.04,60.11,60.50,61.10,60.53,60.73,61.13
DEA,60.82,60.60,61.15,61.04,61.07,61.04,61.11,61.50,60.34,60.20,60.93,61.74,62.03,61.57,61.58,60.74,60.04,60.20,60.76,61.23,60.94,60.88,60.86,60.74,60.87,60.78,60.49,60.48,60.28,60.51,60.80,61.10,60.98,60.84,61.22,60.49,60.13,60.36,60.24,60.41,60.28,60.53,60.26,59.99,60.10,60.20,60.38,60.50,60.35,60.47,60.49,60.42,60.51,60.65,60.28,60.50,61.25,61.04,61.78,60.48,60.44,60.41,60.51,60.59,60.37,60.14,60.64,60.22,60.11,60.50,60.91,60.31,60.28,60.22,60.37,60.46,61.03,61.41,61.23,61.30,61.29,61.39,61.56,61.69,61.56,61.63,62.20,61.17,60.67,60.60,60.64,60.73,60.77,60.85,60.98,61.04,61.07,60.73,61.09,60.58,60.78,61.13,61.41,60.99,61.24,61.42,61.10,60.35,60.74,60.89,61.31,61.14,60.73,60.20,60.59,61.01,60.55,60.68,61.06
DEB,61.16,61.06,61.54,61.24,61.24,61.20,61.25,61.68,61.08,60.86,61.21,62.28,62.49,61.49,61.66,61.12,60.36,60.63,61.32,61.48,61.14,61.19,61.18,61.05,61.28,61.03,60.78,60.78,60.61,60.77,61.18,61.40,61.21,61.11,61.37,60.77,60.38,60.58,60.54,60.57,60.52,60.83,60.36,60.28,60.37,60.42,60.70,60.86,60.58,60.59,60.83,60.64,60.83,60.89,60.69,60.80,61.34,61.32,62.04,60.57,60.59,60.60,60.81,61.19,60.89,60.62,61.30,60.71,60.41,61.10,61.34,60.84,60.77,60.80,60.79,60.90,61.50,61.79,61.61,61.64,61.63,61.78,61.99,62.02,61.90,62.03,62.43,61.53,60.91,60.91,61.06,61.17,61.20,61.29,61.41,61.37,61.29,61.04,61.42,60.89,60.95,61.32,61.54,61.18,61.47,61.77,61.64,60.69,61.14,61.12,61.73,61.26,60.92,60.60,60.99,61.50,60.96,60.90,61.11
DEC,61.32,61.15,61.64,61.35,61.38,61.31,61.43,61.91,61.41,61.14,61.34,62.50,62.73,61.71,61.82,61.33,60.68,60.75,61.45,61.92,61.17,61.13,61.41,61.26,61.48,61.36,61.05,60.98,60.53,60.92,61.29,61.58,61.51,61.25,61.67,60.95,60.77,60.75,60.65,60.93,60.72,61.07,60.65,60.73,60.79,60.80,61.05,61.38,60.83,61.01,61.35,60.97,60.99,61.06,60.76,61.01,61.77,61.58,62.35,60.86,60.76,60.81,60.85,61.42,60.84,60.69,61.65,60.85,60.48,61.19,61.33,60.95,60.86,60.79,60.96,61.06,61.64,61.89,61.75,61.62,62.09,62.09,62.48,62.55,62.21,62.37,62.83,61.60,61.31,61.26,61.12,61.08,61.24,61.38,61.54,61.49,61.17,60.91,61.56,60.99,60.99,61.27,61.49,61.28,61.41,61.79,61.44,60.33,60.88,60.81,61.57,61.13,60.82,60.61,61.24,61.42,60.94,60.97,61.37
DED,61.06,60.99,61.29,61.15,61.55,61.49,61.39,61.57,61.32,60.61,61.09,62.28,62.49,61.54,61.70,61.11,60.54,60.64,61.23,61.44,61.26,61.45,61.21,61.18,61.44,61.17,61.09,61.08,60.99,61.12,61.46,61.83,61.40,61.48,62.06,61.23,60.92,60.93,60.86,60.92,61.08,60.99,60.78,60.64,60.73,60.75,61.04,61.06,61.13,60.86,61.05,61.07,61.17,61.37,61.02,61.00,61.75,61.35,62.07,60.94,60.87,60.81,61.11,60.89,60.94,60.51,61.08,60.73,60.43,60.86,61.38,60.97,60.85,60.87,60.56,60.80,61.38,61.69,61.70,61.58,61.74,61.73,61.93,62.04,62.09,62.21,62.79,61.82,61.25,61.32,61.24,61.28,61.28,61.52,61.44,61.35,61.30,61.16,61.42,60.87,61.13,61.30,61.56,61.54,61.63,61.58,61.44,60.83,61.19,61.43,61.38,61.28,60.90,60.20,60.51,61.21,60.58,60.94,60.71
