NUTS2,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08
DE11,432.1,431.4,435.6,425.6,435.6,438.8,422.0,418.4,417.0,420.8,423.0,417.5,413.7,422.7,419.2,429.2,435.7,437.5,433.1,427.3,432.7,434.5,432.0,432.1,428.9,438.3,431.4,434.6,434.3,434.3,434.5,435.1,438.1,453.8,457.3,454.2,439.0,437.4,438.7,437.4,438.2,439.7,436.2,435.7,435.9,435.6,430.7,441.0,448.0,435.6,433.4,438.4,429.2,440.5,428.5,441.0,437.3,420.1,409.4,414.3,421.4,420.1,421.7,421.5,422.7,432.8,429.3,432.2,440.1,437.6,431.6,428.7,433.0,432.4,431.2,433.5,431.6,428.9,441.6,431.9,431.7,432.3,431.3,433.4,433.4,440.1,448.7,452.6,435.8,435.9,434.7,433.5,434.5,433.9,431.8,438.8,435.9,434.9,432.1,433.5,432.3,439.1,445.0,429.3,427.3,423.6,420.8,436.3,424.7,437.6,429.2,415.5,421.9,425.5,422.6,417.4,420.1,425.0,432.0
DE12,432.5,432.7,436.2,426.8,436.1,438.7,423.4,418.3,416.6,420.4,421.2,415.1,415.3,422.0,421.9,426.9,437.6,434.3,430.8,429.5,435.7,436.7,433.9,434.0,432.0,438.4,433.6,435.2,436.2,434.3,434.6,433.9,439.1,451.3,456.2,452.4,439.6,438.6,439.0,436.7,437.9,441.2,439.5,437.4,437.8,437.0,433.3,441.4,448.2,434.0,431.7,435.9,431.8,441.1,430.4,442.2,435.8,419.1,407.9,416.7,423.4,423.3,421.4,421.7,424.3,434.8,431.8,432.7,441.1,438.2,434.2,431.0,437.4,435.5,435.4,434.3,432.8,433.1,443.8,435.3,432.8,434.7,433.4,436.4,435.7,442.4,451.3,454.7,438.2,439.2,440.2,439.6,439.8,439.0,436.1,445.0,438.2,439.0,435.8,439.0,435.4,441.5,448.5,433.8,432.5,426.2,422.3,437.3,430.6,437.2,430.1,418.3,422.9,426.0,424.0,417.9,422.3,426.5,430.3
DE13,432.9,430.7,433.4,421.6,436.7,435.7,420.7,416.6,413.1,415.6,419.8,413.8,410.1,416.3,413.2,424.7,433.1,436.2,427.0,422.6,429.0,432.6,430.4,429.9,428.4,434.8,427.9,432.9,434.1,430.9,427.8,428.5,436.2,449.9,458.3,451.1,436.5,435.9,441.0,435.2,436.2,438.7,436.9,438.4,437.0,432.8,430.6,438.9,443.1,435.8,432.8,434.2,431.0,440.4,427.0,439.5,435.2,414.1,407.6,416.4,425.2,420.2,422.5,417.1,416.8,431.8,428.0,431.1,436.9,433.7,427.4,425.6,432.5,431.7,431.0,430.9,427.8,427.9,439.0,430.8,430.6,435.1,434.3,435.0,435.7,441.9,453.1,453.4,437.3,439.9,438.5,437.9,439.3,437.5,437.1,443.5,438.3,438.5,434.8,437.9,435.9,442.6,447.9,432.0,430.0,425.3,419.7,439.3,427.8,440.2,429.0,414.5,424.6,427.7,423.1,418.8,422.5,428.4,433.4
DE14,434.1,434.0,436.9,428.2,439.1,437.3,425.8,419.9,418.2,421.1,422.1,418.3,416.0,426.1,419.8,430.9,436.2,434.7,433.1,431.3,432.8,437.6,435.6,433.9,431.1,439.6,431.5,431.6,435.6,432.3,430.5,430.3,436.1,450.3,455.2,451.5,437.1,438.3,440.5,434.0,436.5,442.0,437.0,435.1,432.9,432.7,427.7,434.1,444.6,432.7,428.2,432.5,427.2,436.2,426.5,438.6,438.8,420.4,410.7,418.4,422.8,424.7,423.9,423.3,426.4,435.5,430.6,435.8,442.2,439.8,436.6,434.0,438.3,439.1,434.6,436.5,432.2,434.3,445.4,434.6,435.3,435.5,433.9,435.4,437.4,441.1,452.0,454.2,437.5,439.1,440.0,435.3,439.3,437.2,434.5,440.5,436.8,436.4,434.7,436.7,433.3,439.4,445.6,433.2,429.8,426.8,421.8,438.1,428.6,438.5,431.1,416.3,425.8,429.2,425.6,420.7,424.4,429.7,436.3
DE21,439.3,439.4,443.8,436.9,445.4,445.5,435.0,428.7,427.3,430.6,431.4,425.0,423.8,432.0,431.6,435.3,440.5,440.6,434.7,435.2,438.4,439.5,441.0,438.6,437.9,440.1,444.4,440.7,441.9,439.4,439.0,439.4,442.9,459.8,462.8,457.9,446.4,445.6,447.1,445.4,444.7,446.6,444.8,443.5,443.3,440.7,436.8,450.5,451.5,443.1,441.0,443.9,436.5,445.2,435.3,444.4,443.4,426.3,415.4,419.2,428.5,428.6,428.4,426.7,429.5,436.3,431.9,440.9,446.4,442.2,439.9,435.4,440.4,437.5,440.1,439.9,437.0,435.8,446.1,438.2,437.0,439.8,437.7,439.0,438.8,446.7,456.1,460.0,442.7,442.7,443.8,440.6,442.0,440.5,439.0,445.2,438.9,440.2,438.5,441.5,439.7,449.1,451.6,437.8,435.6,431.3,430.1,444.3,434.5,443.7,438.1,425.4,428.2,433.2,432.3,427.1,429.4,435.2,442.0
DE22,431.9,432.6,438.3,425.3,437.1,438.0,424.3,418.3,417.1,420.6,420.0,414.1,419.0,427.4,424.1,417.7,427.5,432.0,425.3,426.7,431.6,432.6,430.3,430.3,427.4,429.1,440.9,434.2,433.9,431.9,428.6,430.9,431.2,445.9,453.8,447.6,434.7,433.6,432.3,431.4,432.9,434.4,427.5,427.5,434.4,432.5,425.8,436.9,436.8,429.8,426.3,429.7,425.3,430.1,427.1,431.4,428.7,410.0,400.5,400.2,415.4,417.4,414.8,414.3,418.2,428.6,424.1,433.7,431.9,427.4,430.0,427.6,429.3,428.2,435.6,432.1,431.4,427.8,442.3,430.8,434.6,426.6,428.9,429.5,430.7,434.9,446.4,449.2,434.3,432.2,433.8,432.6,432.2,429.1,435.5,442.3,435.4,426.0,432.4,428.9,431.1,440.9,442.6,427.6,426.6,421.7,418.5,430.6,423.9,436.9,427.1,411.6,415.6,426.5,423.9,413.6,417.4,427.9,427.9
DE23,436.3,435.2,438.5,430.3,437.8,438.8,430.7,422.4,422.1,424.9,425.9,419.3,422.6,429.2,425.6,429.4,438.9,437.4,432.3,430.4,434.7,437.8,435.4,436.1,429.9,436.6,439.1,435.4,437.2,435.3,435.3,435.3,440.6,454.6,455.7,453.0,437.5,441.3,439.6,441.5,439.9,441.2,438.2,439.0,440.9,437.5,436.8,444.0,446.8,437.0,435.7,438.2,430.1,444.1,428.9,440.4,437.5,415.6,409.7,413.7,418.6,422.9,420.7,418.9,422.7,433.0,428.9,435.4,437.2,432.8,433.2,431.4,432.4,433.1,435.8,436.8,435.8,432.1,436.3,436.7,434.3,430.0,432.7,430.1,432.9,434.7,447.4,453.3,434.3,433.7,432.2,434.7,432.3,432.0,430.3,436.4,432.4,432.9,431.2,430.3,429.8,438.0,444.0,426.2,424.9,422.6,420.3,432.5,424.9,436.1,427.9,416.8,415.0,424.7,424.6,417.9,422.4,424.3,431.2
DE24,431.9,433.5,438.3,427.9,437.0,437.2,422.1,420.3,422.5,426.4,424.2,420.4,414.2,423.2,424.9,428.7,435.3,435.5,429.3,431.9,434.1,436.2,432.4,430.6,434.5,439.6,440.3,435.0,435.3,432.8,428.6,433.2,438.4,454.5,456.9,452.8,438.2,441.4,444.2,439.6,443.7,439.4,438.6,439.5,441.1,439.7,435.4,445.8,449.2,437.1,436.9,439.2,433.1,441.1,432.5,436.7,433.3,419.1,411.6,415.3,427.5,427.7,421.0,424.9,424.6,437.7,436.3,441.2,442.2,434.8,432.8,435.1,436.6,434.9,437.4,438.7,436.7,433.9,440.5,434.6,434.6,427.1,431.1,435.3,434.2,438.8,451.1,454.6,438.2,438.5,439.9,436.4,434.6,434.1,435.4,446.1,438.1,439.1,435.9,436.7,437.8,444.7,449.6,434.9,429.0,426.5,430.6,440.0,432.6,439.0,433.1,420.3,420.6,428.4,431.4,419.2,426.4,427.8,435.1
DE25,438.7,436.6,441.9,433.2,441.3,440.8,426.2,423.1,420.6,423.6,425.1,421.1,423.4,426.2,426.7,431.9,440.9,438.8,434.8,434.2,437.3,435.6,433.9,435.2,432.7,437.9,439.4,434.8,436.4,434.9,434.9,436.9,439.4,457.4,458.3,457.3,441.4,441.7,441.2,440.1,441.9,442.1,441.7,440.9,440.1,441.4,436.4,447.4,447.3,439.9,436.9,438.7,433.9,442.9,431.7,443.2,440.9,418.6,411.0,416.3,423.5,424.7,422.2,424.7,426.1,434.8,432.8,439.6,444.6,439.0,435.9,433.6,437.9,437.1,437.0,438.5,436.0,434.7,446.4,436.1,437.5,438.2,437.8,439.7,436.5,442.9,455.3,456.8,440.4,439.1,441.5,440.4,440.1,439.4,438.5,445.7,438.7,440.5,439.4,439.9,437.6,447.4,446.9,432.9,432.4,430.9,428.8,440.4,431.7,441.6,435.1,423.3,425.0,431.7,431.3,422.9,424.8,429.1,437.6
DE26,434.2,433.3,436.7,426.3,438.7,436.2,420.5,416.6,419.0,420.9,422.1,417.7,417.6,420.8,421.6,428.7,432.5,431.0,430.2,429.6,432.8,435.7,437.8,436.9,430.5,434.0,439.7,435.4,438.0,432.8,433.2,432.0,438.6,452.8,455.8,450.8,440.6,438.0,440.3,440.1,440.5,440.6,440.1,437.1,439.5,439.1,432.0,441.6,448.5,433.9,428.9,436.0,430.5,437.6,426.7,436.6,434.0,415.0,405.2,412.5,419.6,420.0,416.8,419.8,420.7,429.0,426.3,432.7,434.8,432.1,426.6,426.0,428.2,428.0,428.8,431.2,428.2,427.2,436.2,429.0,428.4,431.8,430.5,431.1,433.1,435.5,449.9,452.1,435.7,434.2,436.8,434.6,437.8,433.9,432.9,440.1,435.2,435.4,433.7,433.6,430.8,440.6,444.8,428.1,428.6,422.7,420.8,432.9,425.7,436.7,425.5,413.2,419.3,424.5,424.6,417.2,420.3,424.1,427.0
DE27,437.8,436.3,440.3,430.1,441.4,445.3,430.2,423.9,423.6,425.1,428.3,422.7,421.3,429.2,430.2,432.6,440.6,439.1,432.7,429.6,437.0,435.1,437.3,436.7,432.6,439.3,438.1,439.5,441.4,434.1,435.9,437.5,440.7,457.3,462.9,455.4,441.4,440.8,443.4,440.4,436.0,441.0,440.3,440.6,438.8,439.3,438.3,446.1,450.7,440.5,435.9,440.4,431.7,441.0,435.1,441.8,437.8,422.2,412.0,415.0,426.5,427.1,422.9,422.1,425.6,434.6,430.6,438.0,439.9,437.2,434.8,427.0,436.9,435.6,432.3,435.2,433.9,434.4,442.8,434.1,437.1,436.2,432.9,435.8,436.5,442.1,450.8,455.0,439.9,440.4,440.8,439.2,439.7,439.7,437.5,442.7,438.9,438.2,436.1,439.1,436.5,445.7,450.4,432.7,435.2,427.6,426.9,439.2,430.1,441.8,434.8,424.6,425.9,428.3,424.8,422.4,427.2,434.0,444.3
DE30,436.9,433.1,438.0,430.1,431.9,427.5,422.0,420.0,424.7,429.3,426.9,425.4,427.7,421.2,415.7,421.0,428.4,432.7,433.0,431.0,433.0,433.0,433.9,440.1,435.4,432.4,432.7,436.9,435.3,435.2,432.7,434.3,435.8,450.0,452.5,440.9,440.9,440.6,439.1,443.0,441.7,437.2,439.7,435.6,439.4,433.9,432.3,442.9,446.0,437.2,435.2,436.7,430.1,437.7,428.7,434.8,423.9,418.8,410.0,416.0,421.7,427.4,421.8,430.0,427.2,430.2,426.1,428.8,433.3,434.0,430.8,430.5,432.4,433.0,433.5,442.7,438.8,431.3,433.7,434.1,434.8,432.7,432.6,434.5,433.8,437.0,449.3,438.2,440.5,437.5,437.9,440.9,435.2,435.0,432.1,435.6,441.0,434.1,432.1,435.1,434.1,441.5,443.3,430.3,428.6,426.8,425.7,436.9,428.0,427.2,420.9,418.8,419.1,428.1,433.5,428.5,433.1,430.7,431.2
DE40,431.3,428.9,437.4,427.4,431.9,421.9,420.6,417.5,423.2,428.6,426.0,423.5,425.2,419.9,411.7,420.5,426.0,431.6,430.2,432.4,430.9,432.9,430.4,437.5,436.7,433.5,431.8,435.5,435.1,429.1,430.4,430.9,434.3,447.8,451.7,439.8,439.1,440.4,440.1,444.4,441.6,439.1,438.5,435.4,436.3,439.1,433.6,442.3,447.6,434.3,434.9,436.2,430.4,437.1,430.7,435.6,418.8,415.5,408.3,414.3,424.5,424.9,420.9,428.7,428.2,429.6,425.6,427.3,432.4,432.4,430.3,429.9,433.1,433.9,434.5,445.0,439.7,432.1,431.0,430.4,430.2,430.6,430.5,430.9,430.6,437.8,447.1,437.6,438.2,436.9,433.2,441.3,432.4,432.3,432.4,434.0,436.2,434.1,432.2,432.9,431.9,440.1,442.8,428.8,426.7,424.0,422.8,436.9,426.9,428.3,419.0,418.1,415.0,425.8,431.4,427.0,427.6,429.2,429.0
