NUTS3,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08
DE111,7095,6638,7440,7560,7222,7331,7396,7762,7768,7742,7617,7609,7476,7839,7774,7800,7629,7903,7947,7967,7421,7466,7215,6963,7367,6975,7064,7230,6982,7009,6637,6707,6960,6740,7139,7273,6952,6876,6652,6729,7286,7460,7622,7414,6880,6922,7615,8036,7162,7197,7730,7255,7430,7691,7628,8322,8394,8168,7851,8003,7912,7996,7959,8122,8096,8168,8624,8530,8397,8855,8461,8646,8549,8415,8459,8294,8089,8180,7676,7602,7470,7349,7214,7169,7277,7330,7856,7503,7437,7203,7345,7150,7655,7304,7574,7874,7787,7736,8307,7430,7605,8526,7855,7734,7782,8245,8166,8350,8246,8544,8420,8223,8030,8137,8173,7864,7928,8068,8300
DE112,7399,6814,7488,7491,7329,7452,7555,7982,7952,7973,7604,7613,7421,8008,7834,7844,7660,7865,7869,7906,7365,7464,7321,7064,7440,7016,7220,7304,7054,7181,6722,6760,7118,6834,7286,7635,7306,7004,6722,6975,7463,7583,7826,7569,7118,7156,7783,8163,7433,7306,7980,7286,7430,7746,7733,8382,8414,8137,7629,7930,7872,7978,7888,8136,8030,8150,8590,8608,8335,8841,8614,8377,8513,8464,8328,8284,7997,8156,7810,7658,7422,7288,7130,7080,7294,7273,7850,7396,7508,7237,7463,7149,7683,7249,7526,7803,7779,7539,8186,7471,7529,8543,7888,7881,8083,8360,8283,8334,8327,8583,8694,8129,8193,8118,7967,7837,7789,7979,8236
DE113,7269,6853,7541,7572,7340,7404,7355,7814,7856,7825,7593,7655,7315,7741,7662,7751,7573,7841,7810,7839,7312,7318,7063,6819,7324,6945,7246,7387,7069,7137,6624,6755,7101,6805,7100,7256,7082,6948,6793,6874,7381,7529,7707,7483,6933,6978,7684,8103,7412,7303,7868,7277,7541,7742,7754,8388,8306,8034,7684,7850,7732,7951,7809,8076,7905,8029,8448,8452,8393,8810,8527,8467,8648,8305,8252,8171,7883,7928,7459,7447,7456,7197,7081,6926,7180,7308,7716,7323,7525,7140,7349,6973,7637,7143,7423,7692,7700,7574,8053,7346,7381,8400,7777,7651,7858,8192,8184,8183,8126,8562,8520,8100,8116,8278,8023,7741,7743,7799,8126
DE114,7576,7206,7816,7807,7459,7475,7726,8114,8186,8110,7763,7749,7608,8145,8035,8100,7821,8238,8233,8290,7715,7818,7461,7279,7881,7214,7579,7830,7404,7321,6990,7073,7291,6832,7220,7664,7237,7175,7160,7054,7523,7958,8015,7756,7266,7211,7932,8466,7512,7433,8166,7575,7780,8198,8066,8649,8364,8433,8093,8209,8161,8111,8207,8533,8386,8522,9074,8771,8504,9232,8927,8663,8729,8672,8355,8332,8432,8307,7650,7822,7537,7642,7323,7313,7572,7410,7926,7440,7536,7549,7481,7161,8044,7591,7697,8115,8425,8038,8410,7503,7747,8746,8331,8181,8339,8742,8491,8680,8614,9159,8765,8399,8491,8625,8598,8345,8272,8315,8421
DE115,7363,6845,7497,7702,7353,7463,7522,7796,7926,7950,7664,7741,7574,7914,7862,8009,7812,8062,7932,8070,7514,7523,7378,7079,7439,7055,7180,7377,7168,7218,6943,6860,7084,6790,7311,7273,7142,6892,6704,6940,7601,7589,7798,7476,6910,7043,7725,8035,7186,7347,7899,7358,7434,7715,7596,8154,8247,8142,7746,7960,7803,8002,7974,8241,8051,8231,8636,8434,8426,8807,8582,8582,8526,8271,8164,8125,7941,7894,7460,7501,7438,7219,7007,6987,7114,7225,7715,7174,7401,7212,7301,6960,7694,7171,7552,7727,7780,7571,7984,7261,7366,8426,7697,7547,7681,8239,8102,8209,8049,8525,8308,7986,7983,7970,8037,7650,7630,7835,8121
DE116,7285,6837,7460,7580,7137,7289,7337,7786,7897,7858,7600,7683,7488,7629,7714,7742,7742,8032,7929,8019,7383,7469,7217,7080,7391,6960,7378,7369,7235,7280,6835,6832,7198,6648,7093,7410,7204,7085,6874,7000,7542,7753,7950,7738,7233,7318,7881,8289,7538,7495,8148,7504,7591,7915,7898,8583,8449,8408,7927,8235,8115,8140,8091,8377,8019,8247,8566,8541,8504,8742,8591,8780,8893,8380,8375,8116,8063,8006,7539,7581,7519,7457,7214,7209,7362,7333,7774,7375,7599,7463,7505,7164,7968,7312,7662,7962,7990,7868,8549,7609,7550,8858,7981,8114,8203,8404,8487,8481,8309,8847,8543,8367,8243,8397,8275,8133,7985,8028,8364
DE117,7219,6875,7391,7605,7456,7477,7565,7887,8057,8041,7985,7691,7528,7775,7838,7820,7888,7952,7865,7993,7584,7469,7066,7010,7097,6849,6936,7048,6825,6840,6606,6704,6886,6466,6850,6952,6950,6766,6654,6737,7207,7292,7415,7377,6944,6915,7360,7872,7125,7072,7498,7055,7389,7618,7555,7866,8331,7977,7868,7901,8001,7897,7931,8029,7941,8569,8511,8499,8536,8539,8155,8364,8518,8007,8203,7893,8068,8175,7544,7393,7321,7364,7224,7051,7320,6959,7698,7476,7455,7324,7224,7029,7744,7096,7463,7568,7621,7739,7817,7270,7586,8337,8202,7853,8043,8166,8098,8497,8427,8651,8595,8256,7432,8070,8135,8019,8059,8279,8821
DE118,7004,6658,7077,7282,6980,7165,7289,7574,7653,7693,7532,7445,7395,7602,7748,7765,7438,7762,7830,7914,7292,7364,7227,7131,7472,6985,7240,7434,7235,7151,6950,6885,7033,6822,7209,7214,7013,6841,6942,6883,7449,7546,7810,7477,7011,7159,7678,8094,7283,7386,7693,7314,7332,7495,7536,8035,8220,8001,7638,7844,7719,7891,7791,8114,8059,8046,8488,8218,8230,8462,8183,8099,8339,8000,8188,7833,7600,7555,7238,7349,7087,6880,6796,6781,6873,6907,7357,6988,7147,7072,7075,6768,7518,6913,7388,7573,7549,7511,7942,7140,7324,8395,7637,7399,7843,8077,7956,8407,7986,8236,8081,8017,8075,7973,7685,7455,7702,8023,8010
DE119,7222,7086,7288,7806,6978,7532,7686,8144,7946,7921,7478,7714,7788,7717,7596,7669,7886,7946,7838,8091,7671,7689,7439,7593,8038,7290,7676,7550,7244,7267,7343,7228,7389,6853,7157,7714,7437,7273,7381,7387,7942,8197,8134,7782,7096,7011,8130,8568,7562,7773,8337,8195,8006,8398,8326,8541,8961,8579,8439,8685,8579,8490,8882,8700,8576,8447,8458,8971,9043,9306,8950,8459,8605,8342,8452,7763,7901,7832,7412,7491,7475,7419,7252,7273,7300,7265,7554,7421,7491,7471,7239,7106,8005,7295,7447,7890,8027,7911,8352,7459,7657,9023,7714,7586,7993,8234,8153,8487,8509,8384,8819,8485,8109,7987,8390,7407,7677,8278,8717
DE11A,7312,7156,7607,7696,7275,7672,7701,7913,8041,7876,7615,7418,7339,7633,7756,7973,7636,8124,8182,7996,7517,7546,7591,7418,7626,7160,7434,7559,7262,7300,7061,6946,7071,6665,7259,7472,7226,6888,6733,6874,7358,7495,7756,7573,6956,6880,7514,8068,7184,7234,8025,7648,7546,7926,7888,8343,8194,8166,7841,8073,7873,7782,7778,8218,7861,8125,8662,8263,8574,9029,8825,8472,8646,8458,8289,8154,8101,8145,7356,7762,7367,7423,7065,7026,7010,7171,7691,7310,7461,7573,7438,6836,7704,7124,7761,8018,8277,7832,8432,7932,7470,8535,7957,8280,8617,8713,8563,8503,8761,8684,8865,8213,8178,8025,7908,8085,7985,7882,8401
